representation,model,weighting,seed,repeat,fold,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,precision_IE,recall_IE,f1_IE,precision_Early,recall_Early,f1_Early,precision_Late,recall_Late,f1_Late
ProtBERT,Logistic_Regression,Class_Balanced,123,2,3,0.8666666666666667,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.8666666666666667,0.6808510638297872,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091
ProtBERT,Logistic_Regression,Class_Balanced,123,2,4,0.6666666666666666,0.7676767676767676,0.5972222222222222,0.7676767676767676,0.6011695906432748,0.7003508771929824,0.43337384682730035,0.25,1.0,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.875,0.6363636363636364,0.7368421052631579
ProtBERT,Logistic_Regression,Class_Balanced,123,2,5,0.5,0.38888888888888884,0.37142857142857144,0.38888888888888884,0.36274509803921573,0.5273109243697479,0.10919492538753907,0.0,0.0,0.0,0.4,0.6666666666666666,0.5,0.7142857142857143,0.5,0.5882352941176471
ProtBERT,Logistic_Regression,Class_Balanced,456,3,1,0.6666666666666666,0.7676767676767676,0.5694444444444444,0.7676767676767676,0.6027568922305764,0.6879699248120301,0.4156851183853697,0.3333333333333333,1.0,0.5,0.5,0.6666666666666666,0.5714285714285714,0.875,0.6363636363636364,0.7368421052631579
ProtBERT,Logistic_Regression,Class_Balanced,456,3,2,0.8666666666666667,0.8585858585858586,0.8585858585858586,0.8585858585858586,0.8585858585858586,0.8666666666666667,0.6808510638297872,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9090909090909091,0.9090909090909091,0.9090909090909091
ProtBERT,Logistic_Regression,Class_Balanced,456,3,3,0.7333333333333333,0.5757575757575758,0.6296296296296297,0.5757575757575758,0.6,0.7866666666666667,0.49618606177797414,0.0,0.0,0.0,1.0,1.0,1.0,0.8888888888888888,0.7272727272727273,0.8
ProtBERT,Logistic_Regression,Class_Balanced,456,3,4,0.6666666666666666,0.5454545454545454,0.4916666666666667,0.5454545454545454,0.49561403508771934,0.6903508771929824,0.4039816339161795,0.0,0.0,0.0,0.6,1.0,0.75,0.875,0.6363636363636364,0.7368421052631579
ProtBERT,Logistic_Regression,Class_Balanced,456,3,5,0.7857142857142857,0.5222222222222223,0.6060606060606061,0.5222222222222223,0.5523809523809523,0.7836734693877551,0.476873817559482,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8181818181818182,0.9,0.8571428571428571
ProtBERT,Logistic_Regression,Class_Balanced,789,4,1,0.8,0.9090909090909092,0.7000000000000001,0.9090909090909092,0.7529239766081871,0.8119883040935673,0.6733027231936325,0.5,1.0,0.6666666666666666,0.6,1.0,0.75,1.0,0.7272727272727273,0.8421052631578947
ProtBERT,Logistic_Regression,Class_Balanced,789,4,2,0.8,0.9090909090909092,0.75,0.9090909090909092,0.7473684210526316,0.8442105263157895,0.6987047734562597,0.25,1.0,0.4,1.0,1.0,1.0,1.0,0.7272727272727273,0.8421052631578947
ProtBERT,Logistic_Regression,Class_Balanced,789,4,3,0.6,0.35353535353535354,0.5757575757575758,0.35353535353535354,0.4090909090909091,0.6333333333333333,0.0851063829787234,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.7272727272727273,0.7272727272727273,0.7272727272727273
ProtBERT,Logistic_Regression,Class_Balanced,789,4,4,0.7333333333333333,0.7171717171717171,0.7171717171717171,0.7171717171717171,0.7171717171717171,0.7333333333333333,0.3617021276595745,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8181818181818182,0.8181818181818182,0.8181818181818182
ProtBERT,Logistic_Regression,Class_Balanced,789,4,5,0.5714285714285714,0.4222222222222222,0.47222222222222215,0.4222222222222222,0.4444444444444444,0.619047619047619,0.20198929081169423,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.6,0.6666666666666666
ProtBERT,Logistic_Regression,Class_Balanced,2026,5,1,0.5333333333333333,0.404040404040404,0.47222222222222215,0.404040404040404,0.43274853801169594,0.5964912280701753,0.16804292019834094,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5454545454545454,0.631578947368421
ProtBERT,Logistic_Regression,Class_Balanced,2026,5,2,0.9333333333333333,0.9696969696969697,0.9166666666666666,0.9696969696969697,0.9365079365079364,0.9365079365079365,0.8634624345543498,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,0.9090909090909091,0.9523809523809523
ProtBERT,Logistic_Regression,Class_Balanced,2026,5,3,0.8,0.5252525252525252,0.6111111111111112,0.5252525252525252,0.5565217391304348,0.7976811594202898,0.4850797373873086,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8333333333333334,0.9090909090909091,0.8695652173913043
ProtBERT,Logistic_Regression,Class_Balanced,2026,5,4,0.8,0.9090909090909092,0.6944444444444443,0.9090909090909092,0.7330827067669173,0.8223057644110275,0.6810160450143291,0.3333333333333333,1.0,0.5,0.75,1.0,0.8571428571428571,1.0,0.7272727272727273,0.8421052631578947
ProtBERT,Logistic_Regression,Class_Balanced,2026,5,5,0.7142857142857143,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.7142857142857143,0.3488372093023256,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.8,0.8
ProtBERT,SVM_Linear,Unweighted,42,1,1,0.8666666666666667,0.5555555555555555,0.6153846153846154,0.5555555555555555,0.5722222222222223,0.8322222222222222,0.6579490028442165,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8461538461538461,1.0,0.9166666666666666
ProtBERT,SVM_Linear,Unweighted,42,1,2,0.8,0.4444444444444444,0.5952380952380952,0.4444444444444444,0.45999999999999996,0.7453333333333333,0.44831667596163405,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.7857142857142857,1.0,0.88
ProtBERT,SVM_Linear,Unweighted,42,1,3,0.7333333333333333,0.5757575757575758,0.46296296296296297,0.5757575757575758,0.48888888888888893,0.7200000000000001,0.47639306734033093,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.8888888888888888,0.7272727272727273,0.8
ProtBERT,SVM_Linear,Unweighted,42,1,4,0.8,0.4444444444444444,0.5952380952380952,0.4444444444444444,0.45999999999999996,0.7453333333333333,0.44831667596163405,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.7857142857142857,1.0,0.88
ProtBERT,SVM_Linear,Unweighted,42,1,5,0.8571428571428571,0.5555555555555555,0.6111111111111112,0.5555555555555555,0.5696969696969697,0.8207792207792207,0.6537014466829248,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8333333333333334,1.0,0.9090909090909091
ProtBERT,SVM_Linear,Unweighted,123,2,1,0.7333333333333333,0.3333333333333333,0.24444444444444444,0.3333333333333333,0.28205128205128205,0.6205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.8461538461538461
ProtBERT,SVM_Linear,Unweighted,123,2,2,0.8666666666666667,0.5555555555555555,0.6153846153846154,0.5555555555555555,0.5722222222222223,0.8322222222222222,0.6579490028442165,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8461538461538461,1.0,0.9166666666666666
ProtBERT,SVM_Linear,Unweighted,123,2,3,0.9333333333333333,0.6666666666666666,0.6388888888888888,0.6666666666666666,0.6521739130434783,0.9014492753623189,0.8387237011128936,0.0,0.0,0.0,1.0,1.0,1.0,0.9166666666666666,1.0,0.9565217391304348
ProtBERT,SVM_Linear,Unweighted,123,2,4,0.8,0.4444444444444444,0.5952380952380952,0.4444444444444444,0.45999999999999996,0.7453333333333333,0.44831667596163405,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.7857142857142857,1.0,0.88
ProtBERT,SVM_Linear,Unweighted,123,2,5,0.6428571428571429,0.45555555555555555,0.3925925925925926,0.45555555555555555,0.41228070175438597,0.6334586466165414,0.2386980188146657,0.0,0.0,0.0,0.4,0.6666666666666666,0.5,0.7777777777777778,0.7,0.7368421052631579
ProtBERT,SVM_Linear,Unweighted,456,3,1,0.8,0.5252525252525252,0.5,0.5252525252525252,0.5120772946859903,0.7710144927536232,0.4740612223681573,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.9090909090909091,0.8695652173913043
ProtBERT,SVM_Linear,Unweighted,456,3,2,0.7333333333333333,0.41414141414141414,0.4230769230769231,0.41414141414141414,0.41111111111111115,0.6911111111111111,0.22885182707624924,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,0.7692307692307693,0.9090909090909091,0.8333333333333334
ProtBERT,SVM_Linear,Unweighted,456,3,3,0.8666666666666667,0.5555555555555555,0.6153846153846154,0.5555555555555555,0.5722222222222223,0.8322222222222222,0.6579490028442165,0.0,0.0,0.0,1.0,0.6666666666666666,0.8,0.8461538461538461,1.0,0.9166666666666666
ProtBERT,SVM_Linear,Unweighted,456,3,4,0.8,0.5252525252525252,0.5,0.5252525252525252,0.5120772946859903,0.7710144927536232,0.4740612223681573,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.9090909090909091,0.8695652173913043
