representation,model,weighting,precision_IE_mean,precision_IE_std,recall_IE_mean,recall_IE_std,f1_IE_mean,f1_IE_std,precision_Early_mean,precision_Early_std,recall_Early_mean,recall_Early_std,f1_Early_mean,f1_Early_std,precision_Late_mean,precision_Late_std,recall_Late_mean,recall_Late_std,f1_Late_mean,f1_Late_std
Physicochemical,SVM_Linear,Unweighted,0.5266666666666666,0.3557725032574526,0.8,0.408248290463863,0.6133333333333333,0.3526355793901855,0.2699999999999999,0.2760921075508169,0.2533333333333333,0.2596293654566204,0.2465079365079364,0.2331213268579887,0.7746029526029526,0.0651694219953411,0.76,0.1205759822398845,0.7616494635798985,0.0728948906682842
Physicochemical,SVM_RBF,Class_Balanced,0.32,0.4760952285695233,0.32,0.4760952285695233,0.32,0.4760952285695233,0.3797619047619047,0.2445330054993264,0.4933333333333333,0.2567604446286965,0.4094054834054833,0.2150761186646672,0.790006993006993,0.0779969683671353,0.7505454545454546,0.1438615419446375,0.7641372641088888,0.1008119482641393
Physicochemical,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7287619047619047,0.0083026646543631,0.9963636363636365,0.0181818181818181,0.8417435897435896,0.010136045866922
Physicochemical,XGBoost,Class_Balanced,0.3733333333333333,0.4621808207954015,0.44,0.5066228051190221,0.3933333333333333,0.4686465935325142,0.4786666666666667,0.3241984417446044,0.4266666666666666,0.2808716591058786,0.4162539682539682,0.2426193981024619,0.8014910644910646,0.0817508737457118,0.8196363636363637,0.1455652987437154,0.8038732809524572,0.0920974940382173
Physicochemical,XGBoost,Unweighted,0.2,0.4082482904638631,0.2,0.4082482904638631,0.2,0.4082482904638631,0.4333333333333333,0.4269562819149832,0.2266666666666666,0.1855921454276674,0.2801904761904761,0.2376133218128727,0.7576197136197136,0.0470843899859748,0.9036363636363638,0.0950206589107585,0.8224537954798826,0.0594482579548883
ProtBERT,Logistic_Regression,Class_Balanced,0.3,0.3930825471690251,0.48,0.5099019513592785,0.3453333333333333,0.4070990415484046,0.7144761904761904,0.2833407695436065,0.7066666666666666,0.2775554665954843,0.6847619047619047,0.2431089186642258,0.8588701298701299,0.0978617155220129,0.7552727272727273,0.1294968010709272,0.7973374628542215,0.093006001557553
ProtBERT,Logistic_Regression,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.7793333333333333,0.3492478691045574,0.4666666666666666,0.2545875386086578,0.5504761904761906,0.2512064615390536,0.8021653901653901,0.045629717740512,0.9625454545454544,0.073402171547433,0.8729509721399882,0.0418791294385297
ProtBERT,Random_Forest,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.8193333333333334,0.2078705972117874,0.7333333333333333,0.2357022603955158,0.7468571428571429,0.1866211071709825,0.8442148962148963,0.0553996396342153,0.8959999999999999,0.100037183169704,0.8666616977225671,0.0653773479476487
ProtBERT,Random_Forest,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.4104536785341584,0.4533333333333333,0.3584947956644817,0.4802857142857142,0.3478306596613552,0.7963778443778443,0.0693109450542634,0.9290909090909092,0.0696804987125268,0.8550607000931943,0.0527266337002542
ProtBERT,SVM_Linear,Class_Balanced,0.3093333333333333,0.2769326031125022,0.72,0.458257569495584,0.412,0.3076012329600103,0.7826666666666666,0.2600961360727991,0.7066666666666666,0.2775554665954843,0.7144761904761904,0.233549786224485,0.8825310245310244,0.0985780209832861,0.7625454545454545,0.1102626466201016,0.8126579006611313,0.0841901631446583
ProtBERT,SVM_Linear,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.7426666666666667,0.3399714040262144,0.5333333333333333,0.3042903097250923,0.5779047619047618,0.2663223400567498,0.8126999666999667,0.0579364812985309,0.94,0.0817760834455371,0.8687080556362021,0.0484808871258668
ProtBERT,SVM_RBF,Class_Balanced,0.0773078033078033,0.0357113114544419,0.84,0.3741657386773941,0.1414532134532134,0.0649735909517699,0.4986666666666666,0.2126725878660191,0.5333333333333333,0.2721655269759087,0.4965396825396825,0.2070097638471246,0.2628571428571428,0.3688862934640821,0.0938181818181818,0.1523624792029538,0.1282246642246642,0.1905647859924779
ProtBERT,SVM_RBF,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295238095238095,0.0077761579135973,1.0,0.0,0.8435897435897435,0.0052339524418443
ProtBERT,XGBoost,Class_Balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.6559999999999999,0.3878322947987814,0.5333333333333333,0.3469443332443555,0.5592380952380952,0.3284105886527245,0.8065261405261407,0.0671777651604906,0.8996363636363637,0.1021625669344923,0.8464425651075267,0.064712762756696
ProtBERT,XGBoost,Unweighted,0.0,0.0,0.0,0.0,0.0,0.0,0.5326666666666666,0.4271590041364162,0.36,0.3179797338056485,0.4049523809523809,0.325002122209479,0.777999333999334,0.0602245262634493,0.9323636363636364,0.0945148551881643,0.845220188507145,0.0598666291345422
