representation,model,weighting,true_class,predicted_class,raw_count,row_normalized,total_samples
Combined_Equal_Block,SVM_Linear,Unweighted,Late,Immediate-Early,12,0.044444444444444446,370
Combined_Equal_Block,SVM_Linear,Unweighted,Late,Early,17,0.06296296296296296,370
Combined_Equal_Block,SVM_Linear,Unweighted,Late,Late,241,0.8925925925925926,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Immediate-Early,Immediate-Early,17,0.68,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Immediate-Early,Late,8,0.32,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Early,Early,56,0.7466666666666667,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Early,Late,19,0.25333333333333335,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Late,Immediate-Early,22,0.08148148148148149,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Late,Early,40,0.14814814814814814,370
Combined_Equal_Block,SVM_Linear,Class_Balanced,Late,Late,208,0.7703703703703704,370
Combined_Equal_Block,SVM_RBF,Unweighted,Immediate-Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,SVM_RBF,Unweighted,Immediate-Early,Early,0,0.0,370
Combined_Equal_Block,SVM_RBF,Unweighted,Immediate-Early,Late,25,1.0,370
Combined_Equal_Block,SVM_RBF,Unweighted,Early,Immediate-Early,0,0.0,370
Combined_Equal_Block,SVM_RBF,Unweighted,Early,Early,4,0.05333333333333334,370
Combined_Equal_Block,SVM_RBF,Unweighted,Early,Late,71,0.9466666666666667,370
Combined_Equal_Block,SVM_RBF,Unweighted,Late,Immediate-Early,0,0.0,370
Combined_Equal_Block,SVM_RBF,Unweighted,Late,Early,7,0.025925925925925925,370
Combined_Equal_Block,SVM_RBF,Unweighted,Late,Late,263,0.9740740740740741,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Immediate-Early,Immediate-Early,3,0.12,370
Combined_Equal_Block,SVM_RBF,Class_Balanced,Immediate-Early,Early,0,0.0,370
