representation,method,K,silhouette,CH,DB,ARI,NMI,purity,stability_ARI_mean,stability_ARI_SD,cluster_size_min,cluster_size_max,cluster_balance_warning
ProtBERT,K-Means,3,0.4339277446269989,50.77900622169295,1.054734572184819,0.2116318199292787,0.1166926066803022,0.7702702702702703,1.0,0.0,5,57,NONE
ProtBERT,K-Means,4,0.2511723041534424,41.92851072576276,1.4548564717749204,0.1135942120847859,0.112602284377534,0.7702702702702703,0.9826017776569858,0.0213083835859371,5,45,NONE
ProtBERT,K-Means,5,0.240705132484436,34.45101336268844,1.4156416214312917,0.1814888581922537,0.1823884727348301,0.7972972972972973,0.9002119496209395,0.0763185110020574,5,46,NONE
ProtBERT,K-Means,6,0.2433734387159347,30.30267711882476,1.2211957780183436,0.1847224704873691,0.2139985816617061,0.8108108108108109,0.6879677027026054,0.1879353454726491,1,46,SINGLETON_DOMINATED
ProtBERT,K-Means,7,0.1322259157896042,27.795702721102103,1.4670709762269794,0.1088894325498862,0.2270219399183011,0.8108108108108109,0.6258930888435148,0.1130394993159385,1,28,SINGLETON_DOMINATED
ProtBERT,K-Means,8,0.1380903571844101,25.94551680931669,1.4795231480434912,0.0695074966253133,0.2155954247307233,0.8108108108108109,0.6610944415040559,0.1235336304288921,1,24,SINGLETON_DOMINATED
ProtBERT,K-Means,9,0.1799659878015518,24.175218690608077,1.2217763891335118,0.0680452132186154,0.2053830999260459,0.8108108108108109,0.6012023753528093,0.08161595413428,1,37,SINGLETON_DOMINATED
ProtBERT,K-Means,10,0.1519488245248794,22.734003711840383,1.3397581536640168,0.0715713929828711,0.2072677742234854,0.7972972972972973,0.6584216974076232,0.1282537775918155,1,28,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,2,0.5237074494361877,77.04849797447885,0.8163537406591973,0.1894716492242526,0.1333144850301321,0.7432432432432432,1.0,0.0,15,59,NONE
ProtBERT,Hierarchical_Ward,3,0.4488503336906433,49.87249115005473,1.04149271938255,0.2033179924481527,0.1553674364084684,0.7837837837837838,1.0,0.0,5,59,NONE
ProtBERT,Hierarchical_Ward,4,0.2315549403429031,40.29486985196647,1.4386541097146763,0.2374850074656701,0.2226729604132474,0.7837837837837838,1.0,0.0,5,49,NONE
ProtBERT,Hierarchical_Ward,5,0.1964161694049835,33.77594991886021,1.690806949289302,0.1756898216478641,0.1989714240842049,0.7837837837837838,1.0,0.0,5,38,NONE
ProtBERT,Hierarchical_Ward,6,0.1933643370866775,29.68588063560199,1.4495094333744918,0.1788375962301318,0.2277233827224529,0.7972972972972973,1.0,0.0,1,38,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,7,0.1858744621276855,27.017786249670493,1.4397681486457916,0.1128839808649871,0.2169465767947049,0.7972972972972973,1.0,0.0,1,33,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,8,0.1853459328413009,25.23920336191281,1.2914070151203156,0.1250163697143054,0.2551489207940973,0.8243243243243243,1.0,0.0,1,33,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,9,0.1834436655044555,23.922635831567614,1.1923246752280043,0.1237350203299621,0.2547674879177439,0.8243243243243243,1.0,0.0,1,33,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Ward,10,0.1812904626131057,22.69166234808733,1.2260623773355732,0.1258272483981723,0.2471489326758306,0.8243243243243243,1.0,0.0,1,33,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,2,0.5663541555404663,10.497064748187558,0.2754235389454557,0.0476742568288271,0.0543600477020349,0.7432432432432432,1.0,0.0,1,73,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,3,0.4886371493339538,45.25801658279882,0.6919921956276602,0.1907498464492026,0.1420118244516799,0.7432432432432432,1.0,0.0,1,59,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,4,0.4599215090274811,32.15792977607687,0.6657554791356821,0.1927101267545142,0.1516240475893524,0.7567567567567568,1.0,0.0,1,59,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,5,0.4220675230026245,28.93334713296103,0.7478343511531862,0.2052520640639849,0.2008694929116974,0.7972972972972973,1.0,0.0,1,59,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,6,0.3028791546821594,27.347095266924686,0.9098044965514952,0.2455144822518421,0.22587918967519,0.7972972972972973,1.0,0.0,1,55,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,7,0.2438496202230453,23.871088647092787,0.8545780997436406,0.2244151910641322,0.2201665691865872,0.7972972972972973,1.0,0.0,1,54,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,8,0.235139325261116,21.18217898566035,0.760435040593489,0.2254185620638965,0.2297149972844893,0.8108108108108109,1.0,0.0,1,54,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,9,0.2162400037050247,19.28566385842465,0.815604540624444,0.2250961681460912,0.2357102097976472,0.8108108108108109,1.0,0.0,1,54,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Average,10,0.211341306567192,17.515978266555365,0.7838223416187345,0.2270981158757226,0.244834368249955,0.8243243243243243,1.0,0.0,1,54,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,2,0.5261927843093872,35.14402560146571,0.6485006718924551,-0.027434822018405,0.0101066231671957,0.7297297297297297,1.0,0.0,5,69,NONE
ProtBERT,Hierarchical_Complete,3,0.4381466805934906,50.14997392327573,1.0297046782014017,0.1782935427088066,0.1358422236281552,0.7702702702702703,1.0,0.0,5,58,NONE
ProtBERT,Hierarchical_Complete,4,0.4327617883682251,36.4031223399122,0.8361214203194538,0.1817420951559403,0.1800517832010623,0.7837837837837838,1.0,0.0,1,58,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,5,0.41146120429039,29.260475716518545,0.7435500534848549,0.1811144778631148,0.1833315873942845,0.7837837837837838,1.0,0.0,1,58,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,6,0.2911490797996521,28.19992983967965,0.9341117953082476,0.1455410690606978,0.1734729301588726,0.7837837837837838,1.0,0.0,1,53,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,7,0.188116654753685,25.799697652064488,1.0701364850712574,0.0724490327189267,0.1705700781215533,0.7837837837837838,1.0,0.0,1,48,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,8,0.1471175849437713,24.044835172528774,1.4026921666956724,0.0889713957880785,0.1773030124922306,0.7837837837837838,1.0,0.0,1,37,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,9,0.1362731307744979,22.48260925150131,1.466548374991086,0.0933596742287947,0.1801402409803446,0.7972972972972973,1.0,0.0,1,37,SINGLETON_DOMINATED
ProtBERT,Hierarchical_Complete,10,0.1251466274261474,21.345883344925035,1.386697846491864,0.0955494818457477,0.1920810235936847,0.7972972972972973,1.0,0.0,1,37,SINGLETON_DOMINATED
Combined_Feature_Standardized,K-Means,2,0.2513118790592051,14.871140532033166,1.8202606726136976,0.1286820229160715,0.0935192106751091,0.7297297297297297,1.0,0.0,15,59,NONE
Combined_Feature_Standardized,K-Means,3,0.1424799212269241,11.530382711326435,2.266353497799756,0.116513347013836,0.1121331846195584,0.7297297297297297,0.982158764650078,0.0218509614941073,15,41,NONE
Combined_Feature_Standardized,K-Means,4,0.1559497111008311,10.625368181816077,2.0306795199075083,0.2078175532801167,0.2398205717097247,0.8108108108108109,0.9528657185511472,0.0293657895959703,7,39,NONE
Combined_Feature_Standardized,K-Means,5,0.1026765860669982,9.74029331593101,1.974287483820773,0.0655757080789609,0.1739055678452404,0.7702702702702703,0.8790419886088621,0.0521744135176182,8,24,NONE
Combined_Feature_Standardized,K-Means,6,0.1129321438554704,8.928726442125592,1.8834235023387451,0.0835766088313595,0.2352508577495421,0.7972972972972973,0.8273362379355497,0.0413430007867009,6,23,NONE
Combined_Feature_Standardized,K-Means,7,0.1102670486992168,8.382171439343717,1.813358343904964,0.0844118225821553,0.2824978564811365,0.8378378378378378,0.7276638041108919,0.0967907193529508,4,20,NONE
Combined_Feature_Standardized,K-Means,8,0.1096601107285456,7.926055426895424,1.5500206880617171,0.0824461058029839,0.2697620385244118,0.8378378378378378,0.7677426432272816,0.0413443944707202,1,23,SINGLETON_DOMINATED
Combined_Feature_Standardized,K-Means,9,0.1172970390812676,7.701077198267033,1.5120238813790223,0.0863008886402373,0.2810763061063966,0.8378378378378378,0.7567123221038277,0.0733351878773593,1,21,SINGLETON_DOMINATED
Combined_Feature_Standardized,K-Means,10,0.1282276787744601,7.402838735794186,1.4719552776370215,0.0900723753923666,0.2557380321293353,0.8378378378378378,0.6850188396901219,0.0589263270864733,1,22,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Ward,2,0.2160719016060446,13.993292319310306,2.015118298515255,0.2849900092113654,0.2236948103722134,0.7702702702702703,1.0,0.0,19,55,NONE
Combined_Feature_Standardized,Hierarchical_Ward,3,0.1740199702474998,11.119965985217906,1.8789296898918977,0.2994769635480026,0.2190847460130718,0.7972972972972973,1.0,0.0,8,55,NONE
Combined_Feature_Standardized,Hierarchical_Ward,4,0.1514207034808753,10.336653627275,2.103474815422208,0.2024666359484291,0.2278580435854375,0.7972972972972973,1.0,0.0,8,39,NONE
Combined_Feature_Standardized,Hierarchical_Ward,5,0.0918601081550783,9.596716913570589,2.00393811998807,0.0956686661069582,0.2312023101200194,0.7972972972972973,1.0,0.0,8,21,NONE
Combined_Feature_Standardized,Hierarchical_Ward,6,0.1053173691249316,8.809607941541454,1.875782685642271,0.0903699623611493,0.238312968910511,0.7972972972972973,1.0,0.0,5,21,NONE
Combined_Feature_Standardized,Hierarchical_Ward,7,0.1099557876722708,8.351480724803395,1.7690066885208915,0.1018848212245185,0.2887598295902653,0.8378378378378378,1.0,0.0,3,21,NONE
Combined_Feature_Standardized,Hierarchical_Ward,8,0.1128223411123932,8.053870956827947,1.6025522870112876,0.1000551970534809,0.2871976487326927,0.8378378378378378,1.0,0.0,1,21,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Ward,9,0.1231082826621024,7.879247017054022,1.5458167732833117,0.0687216959788189,0.2752203963874026,0.8378378378378378,1.0,0.0,1,21,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Ward,10,0.127700482134537,7.684712975558932,1.4211071178735544,0.0682831699271116,0.2754088754067512,0.8378378378378378,1.0,0.0,1,21,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,2,0.3767520145525544,4.007208472540035,0.4703325081028031,0.0476742568288271,0.0543600477020349,0.7432432432432432,1.0,0.0,1,73,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,3,0.346402586265206,3.989255228486092,0.4766384049998971,0.0952306893132054,0.101661791158792,0.7567567567567568,1.0,0.0,1,72,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,4,0.2465961423776806,3.602402232754492,0.5251453845550591,0.0735654913328533,0.1022924035203454,0.7567567567567568,1.0,0.0,1,71,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,5,0.2668635422396114,5.764411140433801,0.7733548610925067,-0.0121230995028413,0.115877367764461,0.7567567567567568,1.0,0.0,1,66,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,6,0.1937972624535452,5.136535031620821,0.7472105312746214,-0.0277863462750062,0.1163282377532449,0.7567567567567568,1.0,0.0,1,65,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,7,0.1800509605055764,4.636843173006104,0.6980831040765875,-0.0305233146435246,0.113297939920844,0.7567567567567568,1.0,0.0,1,65,SINGLETON_DOMINATED
Combined_Feature_Standardized,Hierarchical_Average,8,0.1686284886735471,5.65183497639682,0.962559303009798,0.208800556844965,0.2346902539282797,0.8243243243243243,1.0,0.0,1,56,SINGLETON_DOMINATED
