representation,K,seed_1,seed_2,assignment_ARI
Combined_Equal_Block,7,42,123,0.5575451286066564
Combined_Equal_Block,7,42,456,0.5042124863927315
Combined_Equal_Block,7,42,789,0.384163806807545
Combined_Equal_Block,7,42,2026,0.5081228137641343
Combined_Equal_Block,7,123,456,0.48425825969337905
Combined_Equal_Block,7,123,789,0.5477606790153714
Combined_Equal_Block,7,123,2026,0.5412571673756653
Combined_Equal_Block,7,456,789,0.6054659352437677
Combined_Equal_Block,7,456,2026,0.6434134422566653
Combined_Equal_Block,7,789,2026,0.7028248577167188
Combined_Equal_Block,8,42,123,0.4130014828276396
Combined_Equal_Block,8,42,456,0.40989666576686973
Combined_Equal_Block,8,42,789,0.510433454806092
Combined_Equal_Block,8,42,2026,0.4547176395874716
Combined_Equal_Block,8,123,456,0.5859338531789299
Combined_Equal_Block,8,123,789,0.6069074152591057
Combined_Equal_Block,8,123,2026,0.533926782972834
Combined_Equal_Block,8,456,789,0.6227888394675035
Combined_Equal_Block,8,456,2026,0.43467017757072446
Combined_Equal_Block,8,789,2026,0.5030954715053149
Combined_Equal_Block,9,42,123,0.46673505828611245
Combined_Equal_Block,9,42,456,0.5333430891238671
Combined_Equal_Block,9,42,789,0.48072139769304945
Combined_Equal_Block,9,42,2026,0.42713176064582153
Combined_Equal_Block,9,123,456,0.34801842409911576
Combined_Equal_Block,9,123,789,0.47181015902741263
Combined_Equal_Block,9,123,2026,0.28979806690326193
Combined_Equal_Block,9,456,789,0.6301501096718397
Combined_Equal_Block,9,456,2026,0.3227480835678136
Combined_Equal_Block,9,789,2026,0.4198711302029329
Combined_Equal_Block,10,42,123,0.43051981017287744
Combined_Equal_Block,10,42,456,0.578647579128429
Combined_Equal_Block,10,42,789,0.5174234563066028
Combined_Equal_Block,10,42,2026,0.591383570624128
Combined_Equal_Block,10,123,456,0.4495209959342298
Combined_Equal_Block,10,123,789,0.47749059529666027
Combined_Equal_Block,10,123,2026,0.4693614614889499
Combined_Equal_Block,10,456,789,0.445839338953681
Combined_Equal_Block,10,456,2026,0.5093572474669751
Combined_Equal_Block,10,789,2026,0.4918725914214699
